index,species,in_heatmap
1441,mouse,False
1442,mouse,False
1443,mouse,False
1444,mouse,False
1445,mouse,False
1446,mouse,False
1447,mouse,True
1448,mouse,False
1449,mouse,False
1450,mouse,False
1451,mouse,False
1452,mouse,False
1453,mouse,False
1454,mouse,False
1455,mouse,False
1456,mouse,False
1457,mouse,False
1458,mouse,False
1459,mouse,True
1460,mouse,True
1461,mouse,False
1462,mouse,False
1463,mouse,True
1464,mouse,True
1465,mouse,True
1466,mouse,False
1467,mouse,False
1468,mouse,False
1469,mouse,False
1470,mouse,False
1471,mouse,False
1472,mouse,False
1473,mouse,False
1474,mouse,False
1475,mouse,True
1476,mouse,True
1477,mouse,False
1478,mouse,False
1479,mouse,False
1480,mouse,True
1481,mouse,False
1482,mouse,False
1483,mouse,False
1484,mouse,False
1485,mouse,False
1486,mouse,False
1487,mouse,False
1488,mouse,False
1489,mouse,False
1490,mouse,False
1491,mouse,False
1492,mouse,False
1493,mouse,False
1494,mouse,False
1495,mouse,False
1496,mouse,False
1497,mouse,False
1498,mouse,False
1499,mouse,False
1500,mouse,False
1501,mouse,False
1502,mouse,False
1503,mouse,False
1504,mouse,False
1505,mouse,False
1506,mouse,False
1507,mouse,False
1508,mouse,False
1509,mouse,False
1510,mouse,False
1511,mouse,False
1512,mouse,False
1513,mouse,False
1514,mouse,False
1515,mouse,False
1516,mouse,False
1517,mouse,False
1518,mouse,False
1519,mouse,False
1520,mouse,False
1521,mouse,False
1522,mouse,False
1523,mouse,False
1524,mouse,False
1525,mouse,False
1526,mouse,True
1527,mouse,False
1528,mouse,False
1529,mouse,False
1530,mouse,False
1531,mouse,False
1532,mouse,False
1533,mouse,False
1534,mouse,False
1535,mouse,False
1536,mouse,False
1537,mouse,False
1538,mouse,False
1539,mouse,False
1540,mouse,False
1541,mouse,False
1542,mouse,False
1543,mouse,False
1544,mouse,False
1545,mouse,False
1546,mouse,False
1547,mouse,False
1548,mouse,False
1549,mouse,False
1550,mouse,False
1551,mouse,False
1552,mouse,False
1553,mouse,False
1554,mouse,True
1555,mouse,False
1556,mouse,False
1557,mouse,False
1558,mouse,False
1559,mouse,False
1560,mouse,False
1561,mouse,False
1562,mouse,False
1563,mouse,False
1564,mouse,False
1565,mouse,False
1566,mouse,False
1567,mouse,False
1568,mouse,False
1569,mouse,False
1570,mouse,False
1571,mouse,False
1572,mouse,False
1573,mouse,True
1574,mouse,False
1575,mouse,False
1576,mouse,False
1577,mouse,True
1578,mouse,False
1579,mouse,False
1580,mouse,False
1581,mouse,False
1582,mouse,False
1583,mouse,False
1584,mouse,False
1585,mouse,False
1586,mouse,False
1587,mouse,False
1588,mouse,False
1589,mouse,False
1590,mouse,False
1591,mouse,False
1592,mouse,False
1593,mouse,False
1594,mouse,False
1595,mouse,False
1596,mouse,False
1597,mouse,False
1598,mouse,False
1599,mouse,False
1600,mouse,True
1601,mouse,False
1602,mouse,True
1603,mouse,False
1604,mouse,False
1605,mouse,False
1606,mouse,False
1607,mouse,False
1608,mouse,False
1609,mouse,False
1610,mouse,False
1611,mouse,False
1612,mouse,False
1613,mouse,False
1614,mouse,False
1615,mouse,False
1616,mouse,False
1617,mouse,False
1618,mouse,False
1619,mouse,True
1620,mouse,False
1621,mouse,False
1622,mouse,False
1623,mouse,False
1624,mouse,False
1625,mouse,False
1626,mouse,False
1627,mouse,False
1628,mouse,False
1629,mouse,False
1630,mouse,False
1631,mouse,True
1632,mouse,False
1633,mouse,False
1634,mouse,False
1635,mouse,False
1636,mouse,False
1637,mouse,True
1638,mouse,False
1639,mouse,False
1640,mouse,False
1641,mouse,False
1642,mouse,False
1643,mouse,False
1644,mouse,False
1645,mouse,False
1646,mouse,False
1647,mouse,False
1648,mouse,False
1649,mouse,False
1650,mouse,False
1651,mouse,False
1652,mouse,False
1653,mouse,True
1654,mouse,False
1655,mouse,False
1656,mouse,False
1657,mouse,True
1658,mouse,False
1659,mouse,False
1660,mouse,False
1661,mouse,False
1662,mouse,False
1663,mouse,False
1664,mouse,False
1665,mouse,False
1666,mouse,False
1667,mouse,True
1668,mouse,False
1669,mouse,False
1670,mouse,True
1671,mouse,False
